Symbol,Name,Sector,Industry,Full Time Employees,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,40000.0,23.6,1.5,10.6,11.5,Moderate Controversy Level,2.0,43.0,Medium
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,120000.0,20.7,6.8,4.3,9.6,Moderate Controversy Level,2.0,30.0,Medium
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,45600.0,36.6,17.0,10.4,9.2,Significant Controversy Level,3.0,87.0,High
CHTR,Charter Comm Inc Del Cl a,Communication Services,Telecom Services,101100.0,24.7,6.1,7.9,10.7,Moderate Controversy Level,2.0,48.0,Medium
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,20400.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
CF,"Cf Industries Holding, Inc.",Basic Materials,Agricultural Inputs,2700.0,29.3,16.2,5.4,7.7,Low Controversy Level,1.0,66.0,Medium
CNP,"Centerpoint Energy, Inc.",Utilities,Utilities - Regulated Electric,8827.0,28.7,12.9,5.1,10.7,Moderate Controversy Level,2.0,64.0,Medium
CNC,Centene Corporation,Healthcare,Healthcare Plans,59900.0,19.9,0.1,6.5,13.3,Moderate Controversy Level,2.0,28.0,Low
COR,"Cencora, Inc.",Healthcare,Medical Distribution,46000.0,12.8,1.6,5.7,5.5,Significant Controversy Level,3.0,6.0,Low
CE,Celanese Corporation,Basic Materials,Chemicals,12400.0,26.1,14.7,5.6,5.9,Moderate Controversy Level,2.0,54.0,Medium
CDW,Cdw Corporation,Technology,Information Technology Services,11400.0,9.2,2.5,3.5,3.2,None Controversy Level,2.0,2.0,Negligible
CBRE,"Cbre Group, Inc.",Real Estate,Real Estate Services,130000.0,8.0,1.5,4.6,1.9,Low Controversy Level,1.0,2.0,Negligible
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,1647.0,21.0,2.7,10.6,7.6,Low Controversy Level,1.0,32.0,Medium
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,113200.0,36.2,10.4,8.1,17.7,High Controversy Level,4.0,86.0,High
CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,18000.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,53000.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
CCL,Carnival Corporation,Consumer Cyclical,Travel Services,106000.0,24.5,9.4,5.0,10.1,Significant Controversy Level,3.0,47.0,Medium
KMX,Carmax Inc.,Consumer Cyclical,Auto & Truck Dealerships,29836.0,12.1,0.1,4.0,8.0,Moderate Controversy Level,2.0,5.0,Low
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,47040.0,14.9,1.2,6.4,7.3,Significant Controversy Level,3.0,11.0,Low
COF,Capital One Financial,Financial Services,Credit Services,51300.0,22.5,0.1,10.1,12.3,Significant Controversy Level,3.0,38.0,Medium
CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,14500.0,23.5,10.9,4.5,8.1,Moderate Controversy Level,2.0,42.0,Medium
CPT,Camden Property Trust,Real Estate,REIT - Residential,1640.0,16.1,4.0,8.2,3.9,Low Controversy Level,1.0,14.0,Low
